Dir,Angle,Speed_Bin,Count,Frequency (%)
E,0,"[0.0, 0.5)",0,0.0
N,0,"[0.0, 0.5)",8,0.01413627367825841
NE,0,"[0.0, 0.5)",0,0.0
NW,0,"[0.0, 0.5)",0,0.0
S,0,"[0.0, 0.5)",0,0.0
SE,0,"[0.0, 0.5)",0,0.0
SW,0,"[0.0, 0.5)",0,0.0
W,0,"[0.0, 0.5)",0,0.0
E,0,"[0.5, 1.0)",0,0.0
N,0,"[0.5, 1.0)",61,0.10778908679672039
NE,0,"[0.5, 1.0)",0,0.0
NW,0,"[0.5, 1.0)",0,0.0
S,0,"[0.5, 1.0)",0,0.0
SE,0,"[0.5, 1.0)",0,0.0
SW,0,"[0.5, 1.0)",0,0.0
W,0,"[0.5, 1.0)",0,0.0
E,0,"[1.0, 1.5)",0,0.0
N,0,"[1.0, 1.5)",107,0.18907266044670626
NE,0,"[1.0, 1.5)",0,0.0
NW,0,"[1.0, 1.5)",0,0.0
S,0,"[1.0, 1.5)",0,0.0
SE,0,"[1.0, 1.5)",0,0.0
SW,0,"[1.0, 1.5)",0,0.0
W,0,"[1.0, 1.5)",0,0.0
E,0,"[1.5, 2.0)",0,0.0
N,0,"[1.5, 2.0)",169,0.2986287814532089
NE,0,"[1.5, 2.0)",0,0.0
NW,0,"[1.5, 2.0)",0,0.0
S,0,"[1.5, 2.0)",0,0.0
SE,0,"[1.5, 2.0)",0,0.0
SW,0,"[1.5, 2.0)",0,0.0
W,0,"[1.5, 2.0)",0,0.0
E,0,"[2.0, 2.5)",0,0.0
N,0,"[2.0, 2.5)",230,0.4064178682499293
NE,0,"[2.0, 2.5)",0,0.0
NW,0,"[2.0, 2.5)",0,0.0
S,0,"[2.0, 2.5)",0,0.0
SE,0,"[2.0, 2.5)",0,0.0
SW,0,"[2.0, 2.5)",0,0.0
W,0,"[2.0, 2.5)",0,0.0
E,0,"[2.5, 3.0)",0,0.0
N,0,"[2.5, 3.0)",329,0.5813542550183771
NE,0,"[2.5, 3.0)",0,0.0
NW,0,"[2.5, 3.0)",0,0.0
S,0,"[2.5, 3.0)",0,0.0
SE,0,"[2.5, 3.0)",0,0.0
SW,0,"[2.5, 3.0)",0,0.0
W,0,"[2.5, 3.0)",0,0.0
E,0,"[3.0, 3.5)",0,0.0
